,Kepler ID
1782,2142501
1783,2142508
1784,2142522
1785,2142575
1786,2142628
1787,2142633
1788,2142657
1789,2142663
1790,2142669
1791,2142675
1792,2142730
1793,2142733
1794,2142778
1795,2142913
1796,2154965
1797,2154980
1798,2155012
1799,2155064
1800,2155080
1801,2155148
1802,2155156
1803,2155220
1804,2155278
1805,2155343
1806,2155467
1807,2155506
1808,2155869
1809,2156061
1810,2156069
1811,2156072
1812,2156074
1813,2156089
1814,2156121
1815,2156123
1816,2156155
1817,2156178
1818,2156245
1819,2156343
1820,2156404
1821,2156425
1822,2156435
1823,2156488
1824,2156490
1825,2156514
1826,2156529
1827,2156537
1828,2156545
1829,2156550
1830,2156581
1831,2156669
1832,2156685
1833,2156693
1834,2156718
1835,2156720
1836,2156733
1837,2156757
1838,2156782
1839,2156807
1840,2156809
1841,2156839
1842,2156848
1843,2156879
1844,2156906
1845,2156933
1846,2156939
1847,2156965
1848,2156988
1849,2156992
1850,2156998
1851,2157008
1852,2157024
1853,2157059
1854,2157135
1855,2157184
1856,2157192
1857,2157208
1858,2157213
1859,2157247
1860,2157290
1861,2157305
1862,2157356
1863,2157418
1864,2157428
1865,2157489
1866,2157495
1867,2157508
1868,2157519
1869,2157524
1870,2157526
1871,2157600
1872,2157602
1873,2157630
1874,2157650
1875,2157676
1876,2157725
1877,2157759
1878,2157776
1879,2157788
1880,2157841
1881,2157901
1882,2157905
1883,2157928
1884,2157948
1885,2157949
1886,2157953
1887,2157964
1888,2157979
1889,2157986
1890,2158027
1891,2158047
1892,2158059
1893,2158067
1894,2158076
1895,2158190
1896,2158208
1897,2158221
1898,2158237
1899,2158238
1900,2158278
1901,2158336
1902,2158352
1903,2158410
1904,2158433
1905,2158460
1906,2158534
1907,2158543
1908,2158548
1909,2158566
1910,2158641
1911,2158750
1912,2158770
1913,2158781
1914,2158815
1915,2158850
1916,2158868
1917,2158882
1918,2158923
1919,2159018
1920,2159033
1921,2159073
1922,2159129
1923,2159132
1924,2159257
1925,2159290
1926,2159320
1927,2159370
1928,2159377
1929,2159447
1930,2159449
1931,2159486
1932,2159499
1933,2159674
1934,2159700
1935,2159713
1936,2159728
1937,2159751
1938,2159783
1939,2159823
1940,2159834
1941,2159842
1942,2159852
1943,2159864
1944,2160105
1945,2160161
1946,2160275
1947,2160289
1948,2160553
1949,2160572
1950,2160685
1951,2160771
1952,2160779
1953,2160809
1954,2160839
1955,2160857
1956,2160901
1957,2160910
1958,2160919
1959,2161017
1960,2161064
1961,2161177
1962,2161250
1963,2161283
1964,2161393
1965,2161400
1966,2161407
1967,2161409
1968,2161463
1969,2161515
1970,2161532
1971,2161536
