,kepid,kepoi_name,kepler_name,koi_disposition,koi_score (1 = planet),orbital_period (days),planet_radius(to_Earth),planet_star_dist (AU),planet_canidates,num_accecpted_koi,sun_radius (solar_radii),sun_mass (solar_mass)
1006,6383821,K01238.01,Kepler-797 b,CONFIRMED,1.0,27.07237655,2.18,30.33,1,1.0,0.965,1.075
1007,10538176,K01301.02,Kepler-284 c,CONFIRMED,1.0,37.5142128,2.68,51.9,2,2.0,0.882,0.875
1008,10724369,K01302.01,Kepler-809 b,CONFIRMED,1.0,55.6391882,3.13,36.8,1,1.0,0.962,1.05
1009,6541920,K00157.04,Kepler-11 f,CONFIRMED,0.998,46.6856205,2.52,55.84,6,5.0,1.046,0.921
1011,10744335,K01304.01,Kepler-810 b,CONFIRMED,0.984,4.59726613,1.69,12.27,1,1.0,0.959,1.045
1013,5177104,K01603.01,Kepler-904 b,CONFIRMED,1.0,3.02168007,1.31,7.79,1,1.0,0.989,1.058
1017,8230616,K01713.02,Kepler-316 b,CONFIRMED,1.0,2.240486703,1.22,11.15,2,1.0,0.574,0.5870000000000001
1019,9838949,K01716.01,Kepler-935 b,CONFIRMED,1.0,4.88084456,1.55,14.46,1,1.0,0.861,0.8170000000000001
1020,9895006,K01717.01,Kepler-936 b,CONFIRMED,0.969,10.56137217,2.43,8.29,1,1.0,1.171,1.034
1021,9896558,K01718.01,Kepler-937 b,CONFIRMED,0.964,67.6690554,3.39,52.3,2,1.0,1.08,0.964
1022,9589323,K01488.01,Kepler-861 b,CONFIRMED,1.0,3.949627144,2.32,19.966,1,1.0,0.836,0.8490000000000001
1025,9726659,K01491.01,Kepler-862 b,CONFIRMED,1.0,3.148661555,2.15,8.66,1,1.0,0.873,0.797
1027,5371776,K01557.01,Kepler-304 b,CONFIRMED,1.0,3.295701024,2.81,13.83,4,1.0,0.691,0.76
1028,5371776,K01557.02,Kepler-304 d,CONFIRMED,1.0,9.65349016,2.41,25.95,4,2.0,0.691,0.76
1029,5371776,K01557.03,Kepler-304 c,CONFIRMED,1.0,5.315954488,2.33,26.9,4,3.0,0.691,0.76
1030,9573539,K00180.01,Kepler-484 b,CONFIRMED,1.0,10.04556377,2.19,24.47,1,1.0,0.853,0.952
1031,5371776,K01557.04,Kepler-304 e,CONFIRMED,1.0,1.499144441,1.09,7.73,4,4.0,0.691,0.76
1032,9886661,K01606.01,Kepler-905 b,CONFIRMED,1.0,5.082748362,1.4,22.19,1,1.0,0.858,0.961
1034,10055126,K01608.01,Kepler-311 b,CONFIRMED,1.0,9.17617167,1.66,16.573,3,1.0,1.156,0.974
1035,10055126,K01608.02,Kepler-311 c,CONFIRMED,0.998,19.7383992,1.61,21.6,3,2.0,1.156,0.974
1036,5009743,K01609.01,Kepler-906 b,CONFIRMED,0.996,41.6980186,2.03,56.91,1,1.0,0.971,1.004
1038,10019065,K01721.01,Kepler-938 b,CONFIRMED,1.0,52.6298542,3.68,64.1,1,1.0,1.433,0.933
1039,7950644,K00192.01,Kepler-427 b,CONFIRMED,0.991,10.290994129,13.43,19.961,1,1.0,1.3730000000000002,0.937
1040,10080248,K01722.01,Kepler-939 b,CONFIRMED,0.82,14.8783945,1.63,10.5,1,1.0,0.8370000000000001,0.92
1041,10213902,K01723.01,Kepler-940 b,CONFIRMED,0.992,59.6222627,3.63,36.6,1,1.0,0.997,1.072
1044,7629518,K01495.01,Kepler-863 b,CONFIRMED,0.999,15.59466045,2.74,23.42,1,1.0,0.929,0.995
1045,10810838,K00174.01,Kepler-482 b,CONFIRMED,0.999,56.35407916,2.59,76.2,1,1.0,0.701,0.6859999999999999
1053,10963065,K01612.01,Kepler-408 b,CONFIRMED,1.0,2.465024332,0.69,12.6,1,1.0,1.194,1.016
1054,6268648,K01613.01,Kepler-907 b,CONFIRMED,1.0,15.86624787,1.31,15.2,3,1.0,1.308,0.974
1056,5357901,K00188.01,Kepler-425 b,CONFIRMED,0.995,3.797018259,10.07,13.635,1,1.0,0.848,0.883
1057,4278221,K01615.01,Kepler-908 b,CONFIRMED,1.0,1.340596782,1.16,6.299,1,1.0,1.125,1.122
1058,10214162,K01724.01,Kepler-941 b,CONFIRMED,1.0,17.42393582,3.29,12.22,1,1.0,0.969,0.986
1059,10905746,K01725.01,Kepler-1651 b,CONFIRMED,1.0,9.8786461,1.6,41.282,1,1.0,0.422,0.452
1060,8242434,K01726.01,Kepler-942 b,CONFIRMED,0.748,44.96407458,2.0,70.29,1,1.0,0.7290000000000001,0.8170000000000001
1061,6185331,K01727.01,Kepler-943 b,CONFIRMED,0.998,49.7700907,5.12,31.4,1,1.0,0.818,0.907
1064,9636135,K01498.01,Kepler-864 b,CONFIRMED,0.997,5.83376197,2.98,7.89,2,1.0,1.195,1.27
1066,7841925,K01499.01,Kepler-865 b,CONFIRMED,1.0,14.16400071,2.35,25.755,3,1.0,0.885,0.782
1069,5219234,K01563.01,Kepler-305 b,CONFIRMED,1.0,5.48711441,3.24,9.28,4,1.0,0.787,0.823
1070,5219234,K01563.02,Kepler-305 c,CONFIRMED,0.999,8.29084167,3.21,8.14,4,2.0,0.787,0.823
1071,5219234,K01563.03,Kepler-305 e,CONFIRMED,1.0,3.20539622,1.7,10.11,4,3.0,0.787,0.823
1072,5219234,K01563.04,Kepler-305 d,CONFIRMED,1.0,16.73869035,2.56,45.4,4,4.0,0.787,0.823
1074,9015738,K01616.01,Kepler-909 b,CONFIRMED,0.999,13.93291548,1.66,18.18,2,1.0,1.207,1.113
1075,7215603,K01618.01,Kepler-910 b,CONFIRMED,0.912,2.36436762,0.82,5.358,1,1.0,1.543,1.3259999999999998
1077,5561278,K01621.01,Kepler-911 b,CONFIRMED,1.0,20.31047472,2.41,29.39,1,1.0,1.877,1.197
1079,6387542,K01626.01,Kepler-912 b,CONFIRMED,1.0,2.53475568,2.02,2.41,1,1.0,0.8059999999999999,0.8079999999999999
1081,6869184,K01732.01,Kepler-944 b,CONFIRMED,1.0,43.316742700000006,2.42,68.11,1,1.0,0.774,0.865
1084,6604328,K01736.01,Kepler-945 b,CONFIRMED,1.0,31.0033072,2.72,45.63,1,1.0,1.071,1.173
1086,7439316,K01501.01,Kepler-866 b,CONFIRMED,1.0,2.617028373,1.57,9.88,1,1.0,0.7240000000000001,0.706
1089,12400538,K01503.01,Kepler-867 b,CONFIRMED,1.0,150.2412582,4.6,104.3,1,1.0,0.943,0.916
1090,5184584,K01564.01,Kepler-891 b,CONFIRMED,0.989,53.44944498,5.82,80.697,1,1.0,1.0,1.114
1093,5438099,K01567.01,Kepler-306 c,CONFIRMED,1.0,7.24022418,2.14,16.97,4,1.0,0.721,0.774
1094,5438099,K01567.02,Kepler-306 b,CONFIRMED,1.0,4.64622383,1.82,7.42,4,3.0,0.721,0.774
1095,6543893,K01627.01,Kepler-913 b,CONFIRMED,1.0,10.29674097,5.75,28.4,3,1.0,1.797,1.294
1097,6975129,K01628.01,Kepler-312 c,CONFIRMED,1.0,19.74733983,2.62,36.4,3,1.0,1.149,1.226
1098,11391018,K00189.01,Kepler-486 b,CONFIRMED,0.982,30.360445359,10.99,41.39,1,1.0,0.765,0.74
1099,8685497,K01629.01,Kepler-914 b,CONFIRMED,0.995,4.4096675,1.51,9.49,1,1.0,1.166,1.1
1100,4365645,K01738.01,Kepler-1671 b,CONFIRMED,0.999,4.16787814,1.07,14.36,1,1.0,0.847,0.91
1102,8197343,K01746.01,Kepler-946 b,CONFIRMED,0.998,11.79161234,2.41,30.2,1,1.0,1.199,0.962
1104,6786348,K01749.01,Kepler-947 b,CONFIRMED,1.0,26.964501,2.2,55.53,1,1.0,0.905,1.021
1105,6209677,K01750.01,Kepler-948 b,CONFIRMED,0.999,7.76845639,1.35,15.3,2,1.0,0.917,0.928
1107,9813499,K01505.01,Kepler-868 b,CONFIRMED,1.0,5.03257009,2.53,3.19,1,1.0,0.908,0.996
1108,12254792,K01506.01,Kepler-869 b,CONFIRMED,1.0,40.4286676,2.92,24.0,1,1.0,0.833,0.925
1109,12020218,K01507.01,Kepler-870 b,CONFIRMED,1.0,21.3588236,2.52,28.56,1,1.0,0.992,1.063
1110,7690844,K01508.01,Kepler-871 b,CONFIRMED,1.0,22.0459163,3.05,19.38,1,1.0,0.951,1.065
1112,5438099,K01567.03,Kepler-306 d,CONFIRMED,1.0,17.32670445,2.23,21.64,4,2.0,0.721,0.774
1113,5438099,K01567.04,Kepler-306 e,CONFIRMED,0.999,44.8411168,2.75,33.1,4,4.0,0.721,0.774
